,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species
1214,Unprovoked,Surfing,M,19,Superfical cut to left ankle,N,,Injured,Regular Shark
1215,Unprovoked,Surfing,M,26,Lacerations to lower left leg,N,6' shark,Injured,Regular Shark
1216,Unprovoked,"Swimming, towing surfboard",M,20,Minor injury to left foot,N,,Injured,Regular Shark
1217,Invalid,Surfing,F,20,Calf bitten,,Shark involvement not confirmed,Injured,Regular Shark
1218,Unprovoked,Swimming,M,47,3 lacerations to forearm,N,,Injured,Regular Shark
1219,Invalid,,M,7,Minor injuries,,Shark involvement not confirmed,Injured,Regular Shark
1220,Unprovoked,Treading water,F,38,Severe lacerations to left foot,N,8' bull shark or Caribbean reef shark,Injured,Regular Shark
1221,Unprovoked,Wading,F,13,Puncture wounds & 3-inch laceration to right calf,N,,Injured,Regular Shark
1224,Unprovoked,,M,,Lacerations to fingers,N,White shark,Injured,White Shark
1225,Unprovoked,Swimming or surfing,M,,5 lacerations to left foot,N,3'  shark,Injured,Regular Shark
1226,Unprovoked,Swimming,M,33,3 puncture wounds to toe,N,2'  shark,Injured,Regular Shark
1227,Unprovoked,Swimming,M,,Minor injury,N,2' to 3' reef shark,Injured,Regular Shark
1228,Unprovoked,Surfing,M,17,Right foot bitten,N,,Injured,Regular Shark
1229,Unprovoked,Snorkeling,F,44,Forearm bitten ,N,,Injured,Regular Shark
1230,Unprovoked,Wading,M,9,Minor lacerations to  toe,N,3' shark,Injured,Regular Shark
1231,Unprovoked,Wading,F,8,Lacerations to dorsum of right foot ,N,3' to 4' shark,Injured,Regular Shark
1232,Provoked,Surfing,M,15,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,,Injured,Regular Shark
1233,Unprovoked,Wading,M,16,Lacerations to lower left leg,N,4' shark,Injured,Regular Shark
1234,Unprovoked,Diving,M,,Leg severed,N,Oceanic whitetip shark,Injured,White Shark
1235,Invalid,Body surfing,M,52,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",,Shark involvement not confirmed,Injured,Regular Shark
1236,Unprovoked,Surfing,M,24,Laceration to foream,N,,Injured,Regular Shark
1237,Unprovoked,Swimming,F,14,Lacerations to  right foot,N,,Injured,Regular Shark
1238,Unprovoked,,F,17,Lacerations to right foot,N,,Injured,Regular Shark
1240,Invalid,Wading,M,53,Probable drowning with post-mortem bites,,Shark involvement prior to death not confirmed,Injured,Regular Shark
1241,Unprovoked,Spearfishing,M,42,Lacerations to calf,N,"Bull shark, 6' to 7'",Injured,Regular Shark
1244,Unprovoked,Surfing,M,29,Minor laceration to foot,N,,Injured,Regular Shark
1245,Unprovoked,Swimming,M,37,Lacerations to hand,N,4.5 to 5' shark,Injured,Regular Shark
1248,Unprovoked,Wading,F,35,Lacerations to lower right calf,N,,Injured,Regular Shark
1249,Unprovoked,Surfing,M,14,Laceration to left leg & foot,N,,Injured,Regular Shark
1250,Unprovoked,Body surfing,M,40,Lacerations & abrasions to right hand,N,,Injured,Regular Shark
1252,Unprovoked,Body surfing,F,15,Foot bitten,N,5' shark,Injured,Regular Shark
1253,Unprovoked,Swimming,M,14,"Hand severed, buttocks bitten",N,Bull shark,Injured,Regular Shark
1254,Unprovoked,Surfing,M,9,Biceps & lower arm bitten,N,,Injured,Regular Shark
1255,Sea Disaster,Sea Disaster,M,,Boat capsized in squall. 2 bodies scavenged  by sharks,N,Tiger sharks in area,Injured,Tiger Shark
1256,Unprovoked,Surfing,M,49,Lacerations to right forearm and hand,N,3 m shark,Injured,Regular Shark
1257,Unprovoked,Surfing,M,21,FATAL,Y,2 m shark,Injured,Regular Shark
1258,Unprovoked,Night diving,M,28,FATAL,Y,,Injured,Regular Shark
1259,Unprovoked,Swimming,M,37,Severe lacerations to left leg,N,"White shark, 4m",Injured,White Shark
1260,Unprovoked,Fishing,M,40,Lower legs bitten,N,2 small bull sharks,Injured,Regular Shark
1261,Unprovoked,Wading,M,6,2 inch laceration to left lower calf.,N,,Injured,Regular Shark
1262,Provoked,Fishing,M,24,Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT,N,,Injured,Regular Shark
1263,Unprovoked,Surfing,M,24,FATAL    Severe bite to right thigh,Y,Tiger shark,Injured,Tiger Shark
1264,Unprovoked,Surfing,M,18,3-inch laceration to dorsal surface of left foot,N,4' shark,Injured,Regular Shark
1265,Unprovoked,Surfing,M,24,Calf bitten,N,,Injured,Regular Shark
1266,Unprovoked,Swimming,M,32,Lacerations to left foot,N,"Bull shark, 1.8m",Injured,Regular Shark
1267,Provoked,Surfing,M,21,Puncture wounds to right foot                  PROVOKED INCIDENT,N,,Injured,Regular Shark
1268,Unprovoked,Swimming,M,66,FATAL,Y,"White shark, 12' to 15'",Injured,White Shark
1269,Unprovoked,Surfing,M,14,Cuts & punctures to right foot,N,,Injured,Regular Shark
1270,Unprovoked,,M,,,UNKNOWN,"Tiger shark, 2.3m ",Injured,Tiger Shark
1271,Invalid,Free-diving,M,,"As he pushd the shark away from his camera, his finger was cut on a tooth",,"Tiger shark, 13' female",Injured,Tiger Shark
1272,Invalid,Swimming,M,32,Probable drowning with post-mortem bites,,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",Injured,Regular Shark
1273,Invalid,Surfing,M,19,2 puncture wounds to leg,,Shark involvement not confirmed; thought to be a barracuda bite,Injured,Regular Shark
1274,Unprovoked,Surfing,M,30,Puncture wounds to right foot,N,1.5' to 2' shark,Injured,Regular Shark
1275,Unprovoked,Spearfishing,M,,Left forearm bitten ,N,,Injured,Regular Shark
1276,Unprovoked,Wading,M,15,Shin bitten,N,6' shark,Injured,Regular Shark
1277,Unprovoked,Surfing,,,Foot bitten,N,,Injured,Regular Shark
1278,Unprovoked,Body boarding,M,16,FATAL,Y,Bull shark,Injured,Regular Shark
1279,Unprovoked,Walking out of the water after surfing,M,18,Right foot & ankle bitten,N,,Injured,Regular Shark
1280,Unprovoked,Fishing from surfski,M,39,Right leg bitten,N,,Injured,Regular Shark
1281,Unprovoked,Surfing,M,52,Foot bitten,N,4' to 5' shark,Injured,Regular Shark
1282,Unprovoked,Boogie Boarding,M,,Right foot bitten,N,a small shark,Injured,Regular Shark
1283,Unprovoked,Walking out of the water after surfing,M,13,Three small lacerations/ punctures to right foot,N,2.5' shark,Injured,Regular Shark
1284,Unprovoked,Wading,M,14,Two 3-inch lacerations to right ankle,N,,Injured,Regular Shark
1285,Unprovoked,Jet skiing,M,8,Minor injury,N,Shark involvement not confirmed,Injured,Regular Shark
1287,Unprovoked,Diving,M,49,"Leg bitten, FATAL",Y,"A bull shark, according to some of the divers on the boat",Injured,Regular Shark
1288,Unprovoked,Spearfishing,M,26,Lacerations to face,N,,Injured,Regular Shark
1289,Unprovoked,Surfing,M,25,Lacerations to foot,N,,Injured,Regular Shark
1290,Unprovoked,Surfing,F,14,Abrasions to elbow; collided with shark,N,1 m shark,Injured,Regular Shark
1291,Unprovoked,Surf-skiing,M,,Lacerations to foot,N,3' shark,Injured,Regular Shark
1294,Provoked,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,Laceration to left knee PROVOKED INCIDENT,N,"Mako shark, 90kg",Injured,Regular Shark
1295,Invalid,Wading,M,,"Stingray envenomation, not a shark",,No shark involvement,Injured,Regular Shark
1297,Unprovoked,Surfing,M,20,Left foot bitten,N,a small shark,Injured,Regular Shark
1298,Provoked,Fishing for snapper,M,,Minor injury to hand by hooked shark   PROVOKED INCIDENT,N,"Nurse shark, 10'",Injured,Regular Shark
1299,Unprovoked,Surfing,M,26,Leg bitten,N,Possibly a hammerhead shark,Injured,Regular Shark
1300,Unprovoked,Surfing,M,24,Lacerations & puncture wounds  to left thigh,N,3 m shark,Injured,Regular Shark
1301,Invalid,Scuba diving,M,53,Shark bites were post-mortem,,Invalid,Injured,Regular Shark
1302,Unprovoked,Surfing,M,31,Severe lacerations to right buttock,N,2 m shark,Injured,Regular Shark
1303,Unprovoked,Swimming,M,teen,Lacerations to hand,N,"""a small shark""",Injured,Regular Shark
1304,Invalid,Swimming,M,34,Lacerations to left forearm,,Not a shark attack; it was a hoax,Injured,Regular Shark
1307,Unprovoked,Removing fish from a trap,M,28,20 cm injury to left foot,N,2.27 m shark,Injured,Regular Shark
1308,Provoked,Fishing,M,32,Minor injury to finger by netted shark PROVOKED INCIDENT,N,reef shark,Injured,Regular Shark
1310,Unprovoked,Surfing,M,14,Lacerations to feet,N,1.5 to 2 m shark,Injured,Regular Shark
1311,Unprovoked,Surfing,M,21,Cut to right knee,N,4' to 5' shark,Injured,Regular Shark
1312,Unprovoked,Surfing,M,42,Lacerations to right leg,N,5' shark,Injured,Regular Shark
1313,Unprovoked,Surfing,M,37,Lacerations to thigh,N,"White shark, 3m to 4m",Injured,White Shark
1315,Unprovoked,Floating,M,32,Lacerations to left lower leg,N,Tiger shark,Injured,Tiger Shark
1316,Unprovoked,Surf-skiing,F,52,small laceration to wrist,N,"White shark, 2.5m ",Injured,White Shark
1317,Unprovoked,Spearfishing,M,31,Laceration to calf,N,Bronze whaler shark,Injured,Regular Shark
1318,Unprovoked,Surfing,M,22,4 scratches on left hand,N,3' to 4' shark,Injured,Regular Shark
1319,Unprovoked,Surfing,M,16,Severe lacerations to right hand,N,"Blacktip shark, 5'",Injured,Regular Shark
1320,Unprovoked,Surfing,M,,Puncture wound to foot,N,,Injured,Regular Shark
1321,Sea Disaster,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas ",M,,"FATAL        Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",Y,,Injured,Regular Shark
1322,Unprovoked,Swimming,F,23,FATAL,Y,Tiger shark,Injured,Tiger Shark
1323,Unprovoked,Spearfishing,F,48,Thigh bitten,N,Caribbean reef shark,Injured,Regular Shark
1325,Unprovoked,Swimming,F,18 or 20,"Severe lacerations to lower left leg, ankle and foot",N,Oceanic whitetip sharks were in the vicinity,Injured,White Shark
1326,Invalid,Scuba diving,F,,Shark involvement prior to death unconfirmed,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
1327,Unprovoked,Surfing,F,,Laceration to foot,N,4' shark,Injured,Regular Shark
1328,Unprovoked,Surfing,M,23,Small lacerations to bottom of right big toe,N,3' shark,Injured,Regular Shark
1329,Unprovoked,Spearfishing,M,,Left thigh bitten,N,Gray reef shark,Injured,Regular Shark
1330,Unprovoked,Wading?,M,56,Laceration to right heel,N,,Injured,Regular Shark
1332,Unprovoked,Snorkeling,M,14,"Minor injury, shark latched onto his abdomen",N,"Nurse shark, 2' to 3' ",Injured,Regular Shark
1333,Unprovoked,Wading,F,58,Puncture wounds & 2-inch laceration to calf,N,,Injured,Regular Shark
1334,Unprovoked,Wading,F,36,Laceration to right big toe,N,,Injured,Regular Shark
1335,Unprovoked,Standing,M,15,Lacerations to left calf and both feet ,N,,Injured,Regular Shark
1336,Unprovoked,Jumping,F,12,Tiny punctures to arm,N,"18"" to 24"" shark",Injured,Regular Shark
1337,Unprovoked,Swimming,M,58,"3"" laceration to left forearm",N,Possibly a spinner shark,Injured,Regular Shark
1338,Unprovoked,Body boarding,M,15,Laceration to right heel,N,"Tiger shark, 10' to 12' ",Injured,Tiger Shark
1339,Unprovoked,Surfing,M,24,Lacerations to thigh & torso,N,"White shark, 12'",Injured,White Shark
1340,Unprovoked,Surfing,M,54,Left hand  bitten,N,3' shark,Injured,Regular Shark
1341,Unprovoked,Surfing,M,27, 6 lacerations to left hand,N,3' shark,Injured,Regular Shark
1342,Provoked,Diving,M,,Minor injury from captive shark PROVOKED INCIDENT,N,Sand shark,Injured,Regular Shark
1343,Provoked,Fishing,M,,Forearm bitten by hooked shark PROVOKED INCIDENT,N,Sandtiger shark,Injured,Regular Shark
1344,Unprovoked,Swimming,M,52,Torso bitten,N,,Injured,Regular Shark
1345,Unprovoked,Surfing,M,16,Foot bitten,N,4' to 5' shark,Injured,Regular Shark
1346,Unprovoked,Playing,M,7,Right calf bitten,N,,Injured,Regular Shark
1347,Unprovoked,Floating near boat & observing bioluminesce,M,20,Puncture wounds to torso,N,Possibly a 6' bull shark,Injured,Regular Shark
1348,Unprovoked,Swimming,F,15,"Minor injury, small lacerations to right foot",N, ,Injured,Regular Shark
1349,Unprovoked,Walking out of the water after surfing,M,19,"Minor injury, lacerations to left ankle & foot ",N,,Injured,Regular Shark
1350,Unprovoked,Swimming,M,30,Lacerations to right foot,N,,Injured,Regular Shark
1351,Unprovoked,Boogie Boarding,M,9,Lacerations to lower leg & ankle,N,,Injured,Regular Shark
1352,Unprovoked,Jumped into the water,F,19,Lacerations to arm,N,Possibly a 10' bull shark,Injured,Regular Shark
1353,Unprovoked,Surfing,M,51,Minor injury to shoulder,N,,Injured,Regular Shark
1357,Unprovoked,Snorkeling,M,36,Left calf severely bitten,N, ,Injured,Regular Shark
1358,Unprovoked,Wading,M,15,Calf bitten,N,"Bronze whaler shark, 1.5 m ",Injured,Regular Shark
1359,Unprovoked,Swimming,M,14,Right calf bitten,N,2' to 3' shark,Injured,Regular Shark
1361,Invalid,Swimming,F,43,Foot injured. Shark involvment uncomfirmed,,Shark involvement not confirmed,Injured,Regular Shark
1362,Unprovoked,Wading,F,30,Lacerations to right thigh & left foot,N,5' shark,Injured,Regular Shark
1363,Unprovoked,Spearfishing,F,48,"Lacerations to thumb, ring and pinky fingers of right hand ",N,"Bull shark, 5' ",Injured,Regular Shark
1364,Unprovoked,Surfing,M,18,Right foot bitten,N,,Injured,Regular Shark
1365,Unprovoked,Body boarding,M,17,Minor injuries to thigh & knee ,N,2 m shark,Injured,Regular Shark
1366,Invalid,Murder,,,,,Questionable Incident,Injured,Regular Shark
1367,Provoked,Removing hook from shark,M,,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,N,"Lemon shark, 6' female ",Injured,Regular Shark
1368,Unprovoked,Swimming,F,,Hand bitten,N,,Injured,Regular Shark
1369,Unprovoked,Surfing,M,20,6 to 8 puncture wounds to right hand,N,4' shark,Injured,Regular Shark
1371,Invalid,Surfing,F,9,Superficial injuries to upper leg may have been caused by surfboard fin,,Shark involvement not confirmed,Injured,Regular Shark
1372,Unprovoked,Swimming,F,,Right foot bitten,N,3' to 4' shark,Injured,Regular Shark
1373,Unprovoked,Surfing,M,,Lacerations to leg & ankle,N,,Injured,Regular Shark
1374,Unprovoked,Wading,F,,Lacerations to lower leg,N,,Injured,Regular Shark
1375,Provoked,Reviving a sedated shark,F,40,Left shin bitten by captive shark PROVOKED INCIDENT,N,A 10-year-old 94-pound pregnant blacktip reef shark,Injured,Regular Shark
1376,Provoked,Fishing,M,38,Bitten on the nose by a hooked shark PROVOKED INCIDENT,N,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",Injured,Regular Shark
1377,Unprovoked,Wading,F,38,Left heel & calf bitten,N,2.5 m shark,Injured,Regular Shark
1379,Unprovoked,Surfing,F,21,Knee bitten,N,4' to 5' shark,Injured,Regular Shark
1381,Invalid,Swimming,M,45,Shark involvement prior to death unconfirmed,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
1382,Unprovoked,Snorkeling,F,63,Right foot bitten,N,"Tiger shark, 14' ",Injured,Tiger Shark
1383,Unprovoked,Swimming,M,68,Circular bite on left thigh,N,6' to 8' shark,Injured,Regular Shark
1384,Sea Disaster,Sea Disaster,,,Some of the bodies recovered had been bitten by sharks,Y,,Injured,Regular Shark
1385,Provoked,Shark tagging,F,20,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N,"Lemon shark, >1 m ",Injured,Regular Shark
1386,Unprovoked,Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,"""a small shark""",Injured,Regular Shark
1387,Unprovoked,Body boarding,M,12,Left foot bitten,N,blacktip or spinner shark,Injured,Regular Shark
1388,Unprovoked,Surfing,M,24,Lacerations to left index finger & thumb ,N,3' to 4' shark,Injured,Regular Shark
1390,Unprovoked,Surfing,M,26,Left foot bitten,N,Tiger shark,Injured,Tiger Shark
1391,Unprovoked,Playing on a sandbar,M,7,Lacerations & puncture wounds to right calf,N,,Injured,Regular Shark
1392,Unprovoked,Surfing,M,27,Lacerations to right ankle ,N,3' shark,Injured,Regular Shark
1393,Unprovoked,,M,9,Minor cuts to right buttock & thigh,N,,Injured,Regular Shark
1394,Unprovoked,Murder,,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,,Injured,Regular Shark
1395,Unprovoked,Surfing,M,11,Punctures & lacerations to right calf & calf,N,4' to 5' shark,Injured,Regular Shark
1396,Unprovoked,Surfing,F,42,Lacerations to 3 fingers of left hand ,N,1.5 m shark,Injured,Regular Shark
1397,Provoked,Shark fishing,M,,Right hand bitten by hooked shark PROVOKED INCIDENT,N,5' shark,Injured,Regular Shark
1398,Unprovoked,Swimming,F,59,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,2 to 2.5 m shark,Injured,Regular Shark
1399,Unprovoked,Surfing,M,29,Lacerations to right forearm & hand,N,,Injured,Regular Shark
1400,Provoked,Spearfishing,M,16,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N,Tiger shark,Injured,Tiger Shark
1401,Invalid,Swimming,M,36,Death due to drowning. Shark bite may have been postmortem,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
1402,Unprovoked,Boogie Boarding,M,26,Lacerations to  lower left leg & ankle ,N,,Injured,Regular Shark
1403,Unprovoked,Spearfishing,M,,Survived,N,,Injured,Regular Shark
1404,Unprovoked,Spearfishing (free diving),M,30,Leg bitten,N,Tiger shark,Injured,Tiger Shark
1406,Unprovoked,Diving,M,41,Head & torso bitten,N,"White shark, 3m",Injured,White Shark
1407,Invalid,Swimming,M,20,Shark involvement prior to death unconfirmed,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
1408,Unprovoked,Swimming / Body Surfing,M,24,"Presumed FATAL, body not recovered",Y,Tiger shark,Injured,Tiger Shark
1412,Unprovoked,Surfing,M,25,Left leg bitten,N,2.5 to 3 m shark,Injured,Regular Shark
1413,Unprovoked,Surfing,M,10,Foot bitten,N,2 to 3 m shark,Injured,Regular Shark
1414,Unprovoked,Surfing,M,43,"Minor injuries, surfboard bitten",N,"White shark, 12' to 15' ",Injured,White Shark
1415,Provoked,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"Raggedtooth shark, 150-kg",Injured,Regular Shark
1416,Unprovoked,Body boarding,M,15,"Right leg severed, left leg lacerated",N,"White shark, 5m ",Injured,White Shark
1417,Sea Disaster,Sea Disaster,,,15 perished but shark involvement prior to death was not confirmed,Y,,Injured,Regular Shark
1418,Unprovoked,Swimming,M,29,Laceration to left thigh & left hand,N,2 m to 3 m shark,Injured,Regular Shark
1419,Provoked,Canoeing,M,,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,"Bull shark, 1.5m ",Injured,Regular Shark
1421,Unprovoked,Fishing,M,15,Lower right leg and foot bitten,N,,Injured,Regular Shark
1422,Unprovoked,Surfing,M,20,Left ankle bitten,N,,Injured,Regular Shark
1423,Unprovoked,Surfing,M,,Lacerations to lower left leg,N,1' to 4' shark,Injured,Regular Shark
1424,Unprovoked,Playing soccer in the water,M,18,Lacerations to foot,N,3' to 3.5' shark,Injured,Regular Shark
1425,Unprovoked,Free diving / modeling,F,26,Puncture wounds to left foot,N,,Injured,Regular Shark
1426,Unprovoked,Murder,,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,,Injured,Regular Shark
1428,Unprovoked,Surfing,M,19,Big toe bitten,N,,Injured,Regular Shark
1429,Provoked,Diving / Kissing the shark,M,,Lacerations to upper lip    PROVOKED INCIDENT,N,Nurse shark,Injured,Regular Shark
1430,Unprovoked,Surfing,M,16,Laceration to left thigh,N,,Injured,Regular Shark
1431,Unprovoked,Swimming,M,55,Minor injury to left hand,N,Spinner shark,Injured,Regular Shark
1432,Unprovoked,Surfing,M,52,Left torso grazed,N,5' shark,Injured,Regular Shark
1433,Invalid,Diving,M,44,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",,No shark involvement,Injured,Regular Shark
1434,Unprovoked,,M,20,FATAL,Y,,Injured,Regular Shark
1435,Unprovoked,Standing,M,33,Puncture wounds and cuts to right thigh,N,3' shark,Injured,Regular Shark
1436,Unprovoked,Swimming,M,12 or 13,Arm bitten,N,,Injured,Regular Shark
1438,Unprovoked,Surfing,M,23,Laceration & puncture wounds to foot,N,,Injured,Regular Shark
1440,Unprovoked,Body boarding,M,27,Laceration to right calf & heel,N,,Injured,Regular Shark
1441,Invalid,,M,17,Shark bites may have been post mortem,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
1442,Invalid,Spearfishing,M,34,Shark involvement prior to death not confirmed,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
1443,Sea Disaster,Sea Disaster,M,,FATAL,Y,,Injured,Regular Shark
1444,Unprovoked,Surfing,M,34,FATAL,Y,,Injured,Regular Shark
1446,Unprovoked,Lifesaving drill,M,24,Foot severed,N,White shark,Injured,White Shark
1447,Unprovoked,Wading,F,59,Lacerations & punctures to left foot,N,,Injured,Regular Shark
1448,Unprovoked,Spearfishing,M,,Thigh bitten,N,"Bull shark, 1.5m ",Injured,Regular Shark
1449,Provoked,Touching sharks,,,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N,small catsharks,Injured,Regular Shark
1450,Unprovoked,Surfing,M,41,Minor injury,N,White shark?,Injured,White Shark
1451,Invalid,Boogie Boarding,M,,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,"Thought to involve a mako shark, but possibly a sea lion",Injured,Regular Shark
1452,Unprovoked,Surfing,M,15,Foot bitten,N,,Injured,Regular Shark
1454,Unprovoked,Surfing,M,14,Minor lacerations to right foot,N, ,Injured,Regular Shark
1455,Unprovoked,Surf fishing,M,,Right foot bitten,N,"Bull shark, 4' to 5' ",Injured,Regular Shark
1456,Invalid,,,,8 shark-bitten bodies washed ashore,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
1457,Unprovoked,Standing,M,49,Left ankle & foot bitten,N,"Angel shark, 1.2m ",Injured,Regular Shark
1458,Invalid,Swimming,F,7,Hand & wrist severely bitten,,"Shark involvement not confirmed, injury may have been caused by a bluefish",Injured,Regular Shark
1459,Unprovoked,Swimming,F,21,Ankle & foot bitten,N,,Injured,Regular Shark
1460,Unprovoked,,M,,FATAL,Y,Bull or tiger shark,Injured,Tiger Shark
1461,Unprovoked,Wading,M,40,Dorsum of left foot bitten,N,,Injured,Regular Shark
1462,Unprovoked,Walking,M,11,Lower leg & ankle bitten,N,,Injured,Regular Shark
1463,Unprovoked,Body boarding,F,14,Foot bitten,N,5' to 6' spinner or bull shark,Injured,Regular Shark
1464,Unprovoked,Swimming,M,13,Right calf bitten,N,,Injured,Regular Shark
1465,Unprovoked,Spearfishing,F,28,Lacerations & puncture wound  to arm,N,"1.8 m blacktip ""reef"" shark",Injured,Regular Shark
1466,Unprovoked,Spearfishing,M,35,Minor injuries,N,"1.8 m blacktip ""reef"" shark",Injured,Regular Shark
1467,Unprovoked,Body boarding,F,9,Right calf bitten,N,,Injured,Regular Shark
1468,Provoked,Fishing,M,,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,,Injured,Regular Shark
1469,Unprovoked,Spearfishing,M,25,Right arm severely bitten,N,,Injured,Regular Shark
1470,Unprovoked,Surfing,F,22,2-inch puncture wounds on right foot,N,Possibly a 1' to 3' blacktip or spinner shark,Injured,Regular Shark
1471,Unprovoked,Body boarding,M,27,Left thigh bitten FATAL,Y,,Injured,Regular Shark
1473,Unprovoked,Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,2' to 3' shark,Injured,Regular Shark
1474,Unprovoked,Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,3' to 4' shark,Injured,Regular Shark
1476,Unprovoked,Spearfishing,M,26,"4"" laceration to left forearm",N,"Tiger shark, 8' to 12'",Injured,Tiger Shark
1479,Provoked,Spearfishing,M,15,Knee bitten after diver poked shark PROVOKED INCIDENT,N,"Grey reef shark, 5' to 8' ",Injured,Regular Shark
1480,Unprovoked,Surfing,M,33,"Injuries to left thigh, calf & foot",N,,Injured,Regular Shark
1481,Unprovoked,Scuba diving,F,30s,Laceration to leg,N,"Tiger shark, 10' to 12'",Injured,Tiger Shark
1482,Unprovoked,,M,,Small lacerations to arm,N,,Injured,Regular Shark
1483,Unprovoked,Swimming,F,20s,2 lacerations on lower right leg,N,,Injured,Regular Shark
1484,Provoked,Snorkeling,M,46,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,"Wobbegong shark, 2 m ",Injured,Regular Shark
1485,Invalid,,M,,Shark bites post mortem,,Invalid,Injured,Regular Shark
1486,Unprovoked,Surfing,M,54,Feet bitten,N,,Injured,Regular Shark
1487,Unprovoked,Standing,F,13,3 tiny punctures & small lacerations on right ankle,N,,Injured,Regular Shark
1488,Provoked,Fishing,M,35,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,"Bull shark, 4' to bull shark",Injured,Regular Shark
1489,Unprovoked,Surfing,M,15,Minor laceration to left foot,N,"Bronze whaler shark, a  juvenile ",Injured,Regular Shark
1490,Unprovoked,Body boarding,M,15,Leg bitten,N,"Raggedtooth shark, 2.5 m to 3 m ",Injured,Regular Shark
1491,Unprovoked,Swimming,M,35,Left leg bitten,N,Tiger shark,Injured,Tiger Shark
1492,Unprovoked,Wading,M,11,Minor injury to right hand & thigh,N,,Injured,Regular Shark
1493,Unprovoked,Fishing,M,,Reportedly FATAL but few details,Y,"3 m, 600-kg shark",Injured,Regular Shark
1494,Unprovoked,Surfing,F,28,5 puncture wounds in left calf,N,"Tiger shark, 10'  ",Injured,Tiger Shark
1495,Invalid,Swimming,M,17,"FATAL, but shark involvement prior to death unconfirmed",,Shark involvement prior to death was not confirmed,Injured,Regular Shark
1496,Unprovoked,Surfing,M,21,Lacerations to right hand,N,"Tiger shark, 5' ",Injured,Tiger Shark
1498,Unprovoked,Standing,F,15,Deep laceration to right calf,N,5' to 7' shark,Injured,Regular Shark
1499,Invalid,Free diving,M,45,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,,Invalid,Injured,Regular Shark
1500,Unprovoked,Wading,M,18,Lacerations to foot,N,,Injured,Regular Shark
1501,Unprovoked,Swimming,M,,Puncture wound on arm,N,,Injured,Regular Shark
1503,Unprovoked,Surfing,M,15,2 bite marks on right calf,N,Raggedtooth shark,Injured,Regular Shark
1504,Unprovoked,Swimming,F,24,Severe bite to right leg FATAL,Y,Tiger shark,Injured,Tiger Shark
1507,Unprovoked,Spearfishing,M,34,Right arm  bitten,N,,Injured,Regular Shark
1510,Unprovoked,Scuba diving,M,52,Lacerations to left elbow,N,3.5 m white shark,Injured,White Shark
1512,Unprovoked,Swimming,F,21,FATAL,Y,Bull shark,Injured,Regular Shark
1513,Unprovoked,Surfing,M,21,3 puncture wounds in right wrist & hand,N,4' shark,Injured,Regular Shark
1514,Unprovoked,Diving for crayfish,M,49,Lacerations to little finger,N,Said to involve a 1.5 m shark,Injured,Regular Shark
1515,Unprovoked,Surfing,M,30,Lacerations to ankle & calf,N,White shark,Injured,White Shark
1516,Unprovoked,Swimming,M,29,Left hand bitten,N,Tiger shark,Injured,Tiger Shark
1518,Unprovoked,Spearfishing,M,44,Right forearm & elbow bitten,N,Whitetip reef shark,Injured,White Shark
1520,Unprovoked,Surfing,M,teen,Left foot bitten,N,,Injured,Regular Shark
1521,Unprovoked,Surfing,M,23,Right thumb & palm lacerated,N,4' shark,Injured,Regular Shark
1523,Unprovoked,Surfing,M,18,"2 lacerations on leg, each 4"" to 5"" long",N,1.8 m shark,Injured,Regular Shark
