,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species,Arms,Legs,Chest,Thighs,Hands,Heads,Feet,Fingers,Necks,Backs,Shoulders,Toes
940,Invalid,,F,,"Apparent drowning, and subsequent scavenging by 16' tiger shark",,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
942,Provoked,Fishing,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,"Bull shark, 2m",Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
943,Unprovoked,Spearfishing,M,21,Lacerations to left forearm,N,1.5 m shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
944,Unprovoked,Surfing,M,32,Left leg severed at the knee,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
945,Unprovoked,Diving for abalone,M,49,FATAL,Y,White shark x 2,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
946,Provoked,Fishing,M,,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,1 m shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
947,Unprovoked,Snorkeling,M,58,Arm bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
948,Provoked,Shark fishing on the Ricardo Astorga,M,,Left foot bitten PROVOKED INCIDENT,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
949,Unprovoked,Surf fishing,M,37,Right leg bitten,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
950,Unprovoked,Swimming,F,38,"Leg, forearm & hand severely bitten",N,6' shark,Injured,Regular Shark,True,False,False,False,True,False,False,False,False,False,False,False
951,Provoked,Shark fishing on the Don Agustín-VI. ,M,25,Left eg bitten PROVOKED INCIDENT,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
952,Unprovoked,Scuba diving,M,55,Arm bitten ,N,Caribbean reef shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
953,Invalid,Swimming,F,7,Lacerations to both legs,,Shark involvement not confirmed,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
954,Unprovoked,Surfing,M,16,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
955,Unprovoked,Attempting to fix motor,M,37,Bitten on leg and groin,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
957,Unprovoked,Body boarding,M,16,"Lacerations to his lower left leg, calf, foot & ankle",N,6' shark,Injured,Regular Shark,False,True,False,False,False,False,True,False,False,False,False,False
958,Unprovoked,Surfing,M,,Lacerations to  foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
959,Unprovoked,Surfing,M,46,Lacerations to right foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
960,Unprovoked,Snorkeling,F,70,FATAL,Y,"Oceanic whitetip shark, 2.5m ",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
961,Unprovoked,Surfing,M,,Lacerations to right hand,N,,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
962,Unprovoked,Snorkeling,M,54,Both arms severely bitten,N,Mako shark ,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
963,Unprovoked,Snorkeling,M,46,Lacerations to right leg,N,Mako shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
964,Unprovoked,Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,"Oceanic whitetip shark, 2.5m, female",Injured,White Shark,True,False,False,False,True,False,False,False,False,False,False,False
965,Unprovoked,Snorkeling,F,48,Foot and arm bitten,N,"Oceanic whitetip shark, 2.5m, female",Injured,White Shark,True,False,False,False,False,False,False,False,False,False,False,False
966,Unprovoked,Fishing,M,47,Serious wounds to chest,N,,Injured,Regular Shark,False,False,True,False,False,False,False,False,False,False,False,False
967,Invalid,Swimming,M,,Death may have been due to drowning,,Shark involvement not confirmed,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
968,Provoked,Snorkeling,M,33,Head bitten by netted shark PROVOKED INCIDENT,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
969,Unprovoked,Diving,M,21,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
970,Unprovoked,Surfing,M,,Hand bitten ,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
972,Unprovoked,Snorkeling,F,20,Torso and left buttock bitten,N,White shark,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
975,Provoked,Fishing,M,,PROVOKED INCIDENT?  ,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
977,Unprovoked,Kite Surfing,M,14,Lacerations to lower right leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
978,Unprovoked,Body boarding,M,19,FATAL,Y,"White shark, 14' to 18' ",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
979,Unprovoked,Snorkeling,F,,Multiple lacerations to left leg and foot,N,,Injured,Regular Shark,False,True,False,False,False,False,True,False,False,False,False,False
980,Unprovoked,Surfing,M,22,Foot bitten,N,"Bull shark, 1.4m ",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
981,Unprovoked,Snorkeling,M,,Calf bitten,N,Lemon shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
982,Unprovoked,Surfing,F,,Bitten between left ankle & knee,N,Possibly a 6' lemon shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
983,Unprovoked,Surfing,M,Teen,3 lacerations to foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
985,Unprovoked,Surfing,M,18,Bite to left ankle and knee,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
986,Unprovoked,Swimming,M,29,FATAL,Y,White shark,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
987,Unprovoked,Surfing,M,15,Lacerations and puncture wounds to leg and foot,N,2m shark,Injured,Regular Shark,False,True,False,False,False,False,True,False,False,False,False,False
988,Unprovoked,Swimming,M,27,Lacerations to left wrist,N,3' shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
989,Unprovoked,Swimming /  Whale Watching,M,24,Puncture wounds to right foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
991,Unprovoked,Surfing,M,24,Lacerations to right  hand ,N,,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
992,Unprovoked,Surfing,M,24,Left thigh bitten,N,,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
993,Unprovoked,,M,34,Lacerations to face and neck,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,True,False,False,False
994,Invalid,Swimming after boat became disabled,M,43,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",,Shark involvement prior to death was not confirmed,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
995,Unprovoked,Boogie Boarding,M,10,Minor injuries to foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
996,Unprovoked,Surfing,M,31,FATAL,Y,White shark,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
998,Provoked,Fishing,F,,Leg bitten by hooked shark PROVOKED INCIDENT,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
999,Unprovoked,Swimming,F,16,Lacerations to left lower leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1000,Unprovoked,Surfing,M,47,Left foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1001,Unprovoked,Surfing,M,25,Left foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1003,Invalid,Swimming,F,,Minor abrasions to legs when she was lifted on the back of a large marine animal,,Shark involvement not confirmed,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,True,False,False
1005,Unprovoked,Standing,F,37,Lacerations to forearm,N,3' to 4' shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1006,Unprovoked,Standing,M,16,Lacerations to right lower leg,N,4' shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1007,Unprovoked,Surfing,M,20,Left foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1008,Unprovoked,Swimming,M,10,Minor lacerations to left calf,N,Possibly a small blacktip shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1009,Unprovoked,Swimming,F,13,Lacerations to right forearm,N,"Sandtiger shark, 4' to 5'",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1010,Unprovoked,Surfing,M,55,Minor lacerations to right foot,N,A small spinner shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1011,Provoked,Swimming,M,9,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,Angel shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1012,Unprovoked,Fishing,M,,Leg bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1013,Provoked,Fishing,M,,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,"Nurse shark, juvenile ",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1014,Unprovoked,Snorkeling,F,21,Left leg bitten,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1015,Provoked,Fishing,M,20,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,"Blue shark, 7'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1016,Unprovoked,Surfing,M,19,Laceration to left foot,N,4' shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1018,Unprovoked,Surfing,M,20,Lacerations to right foot,N,"Bull shark, 5'",Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1019,Unprovoked,Boogie Boarding,F,6,Laceration to leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1020,Unprovoked,Swimming,F,13,Laceration to left foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1021,Unprovoked,Swimming,M,17,Laceration to left foot,N,1 m shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1022,Unprovoked,Boogie Boarding,F,18,Lacerations to left calf and foot,N,4' shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1023,Unprovoked,Surfing,M,40,Severe laceration to right knee,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1024,Unprovoked,Surfing,M,20,Lacerations to left foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1025,Provoked,Fishing,M,49,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,"Lemon shark, 4'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1026,Unprovoked,Rescuing,F,58,Minor laceration to leg,N,20 to 30kg shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1027,Unprovoked,Swimming,F,60,Severe lacerations to left foot,N,20 to 30kg shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1028,Unprovoked,Surfing,M,,Superficial lacerations to lower left leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1029,Unprovoked,Scuba diving,M,59,Lacerations to arm & chest,N,,Injured,Regular Shark,True,False,True,False,False,False,False,False,False,False,False,False
1030,Unprovoked,Wading,F,10,Minor puncture wounds to right ankle,N,4' shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1031,Provoked,Measuring sharks,M,29,Arm bitten PROVOKED INCIDENT ,N,"Lemon shark, 6'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1033,Unprovoked,Surfing,M,35,Both feet bitten,N,2 m shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1034,Unprovoked,Swimming / treading water,M,24,Lacerations to left ankle and foot,N,"Oceanic whitetip shark, 6'",Injured,White Shark,False,False,False,False,False,False,True,False,False,False,False,False
1036,Unprovoked,Swimming,M,,Bruised but otherwise unhurt,N,Possibly a blue shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1037,Unprovoked,Surfing,M,,Lacerations to right leg,N,3 m shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1038,Unprovoked,Scuba diving,M,19,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1039,Unprovoked,Snorkeling,F,60,Lacerations to legs & buttocks,N,2 m shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1040,Unprovoked,Surfing,M,46,"Minor injury, lacerations to left lower leg",N,"Wobbegong shark, 1.6m",Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1043,Provoked,Surf fishing / wading,M,,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,"Spinner shark, 6'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1044,Invalid,Spearfishing (free diving),M,31,Shark bites were post-mortem,,Invalid,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1045,Unprovoked,Kite Boarding,M,38,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1046,Provoked,Boogie Boarding,F,14,Stepped on shark PROVOKED INCIDENT,N,1.5 m shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1047,Unprovoked,Surfing,M,29,Foot bitten,N,Thought to involve a juvenile hammerhead shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1049,Unprovoked,Surfing,M,54,Laceration to bottom of foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1050,Unprovoked,Surfing,M,,Lacerations to right hand ,N,,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
1051,Unprovoked,Standing,M,37,FATAL,Y,White shark,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
1052,Unprovoked,Snorkeling,F,9,2 sets of minor lacerations below her right knee,N,"Whitetip reef shark, 1m",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
1053,Unprovoked,,F,,Minor injuries,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1054,Unprovoked,,M,,Right wrist bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1055,Unprovoked,Bathing,M,,Left arm bitten twice,N,,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1056,Unprovoked,Spearfishing,M,32,Lacerations to  arm,N,,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1058,Unprovoked,Wading,M,20,Lacerations to  left foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1059,Provoked,Swimming,M,55,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1060,Unprovoked,Swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,"Zambesi shark, 2m ",Injured,Regular Shark,True,False,False,False,True,False,False,False,False,False,False,False
1062,Unprovoked,Spearfishing,M,18,Lacerations to hand & forearm,N,"Bull shark, 3m",Injured,Regular Shark,True,False,False,False,True,False,False,False,False,False,False,False
1063,Unprovoked,Paddling on kneeboard,M,22,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1064,Invalid,Surfing,M,,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",,No shark involvement,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1065,Unprovoked,Swimming to shore from capsized kayak,M,24,FATAL,Y,"White shark, 2.8 to 3 m ",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
1066,Unprovoked,Surfing,M,39,Laceration to big toe,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,True
1068,Provoked,Diving,M,58,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,"Sandtiger shark, 8'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,True,False,False
1069,Invalid,Surfing,M,49,Puncture wounds to right foot,,Shark involvement not confirmed,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1070,Unprovoked,Wading,M,10,Left foot bitten,N,6' shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1071,Unprovoked,Fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,Thresher shark,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
1072,Unprovoked,Surfing,M,22,Foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1073,Unprovoked,Surfing,F,27,Foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1074,Unprovoked,Surfing,M,18,Foot bitten,N,4' shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1075,Unprovoked,Kayaking,M,25,Ankle bitten,N,2 m shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1078,Unprovoked,Spearfishing,M,,Left ankle & foot bitten,N,Zambesi shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1080,Unprovoked,Surfing,M,,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,True
1081,Unprovoked,Surfing,M,54,Bitten on upper right thigh & right ankle,N,6' to 8' shark,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
1082,Unprovoked,Wading,F,10,Arm & torso bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1083,Provoked,Diving,M,23,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,Angel shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1084,Unprovoked,Diving,M,23,Severe lacerations to lower right leg,N,"Bull shark, 10'",Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1085,Unprovoked,Surfing,M,,Laceration to shin of left leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1086,Provoked,Fishing,M,39,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,Spurdog,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1087,Unprovoked,Swimming,M,,Laceration to right foot,N,"Bull shark, 8'",Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1088,Unprovoked,,M,,Lower right leg bitten,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1089,Provoked,Fishing,M,,Arm bitten PROVOKED INCIDENT ,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1090,Provoked,,M,34,Cause of death was drowning; his remains were scavenged by sharks,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1091,Invalid,Swimming,M,60,FATAL,Y,Shark involvement prior to death not confirmed,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1092,Unprovoked,"Swimming, attempting to rescue a girl  believed to be drowning",M,15,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1093,Invalid,Swimming,M,,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,,Invalid,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1094,Provoked,Fishing,M,,Injuries to face & neck PROVOKED INCIDENT,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,True,False,False,False
1096,Unprovoked,Surfing,M,25,FATAL,Y,White shark,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
1097,Unprovoked,Swimming,F,22,Puncture wounds to left foot & calf,N,"White shark, 5' to 6' juvenile ",Injured,White Shark,False,False,False,False,False,False,True,False,False,False,False,False
1099,Unprovoked,Swimming,M,26,Puncture marks on left foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1101,Unprovoked,Wade Fishing,M,56,Right ankle & foot bitten,N,Bull shark?,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1102,Unprovoked,Spearfishing,M,14,Lacerations to calf,N,Bull shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1103,Unprovoked,Surfing,M,14,Left forearm grazed & puncture marks in wetsuit,N,,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1104,Unprovoked,Swimming,F,41,Foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1105,Unprovoked,Washing his feet,M,,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1106,Unprovoked,Wading,F,14,Lacerations to anterior left lower leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1107,Invalid,Swimming,F,11,Laceration to left foot,,Shark involvement questionable,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1108,Unprovoked,Swimming,F,26,Laceration to left foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1109,Unprovoked,Swimming,F,19,Laceration to lower right leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1110,Unprovoked,Swimming,M,57,Severe bite to right leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1111,Provoked,Spearfishing,M,,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,N,"Caribbean reef shark, 6'",Injured,Regular Shark,False,False,False,False,False,True,False,False,False,False,False,False
1113,Unprovoked,Surfing,M,37,Leg bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1114,Unprovoked,Boogie Boarding,F,12,Right ankle bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1115,Provoked,Swimming,F,43,Thigh injured by hooked shark PROVOKED INCIDENT,N,"Nurse shark, 6'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1116,Unprovoked,Surfing,M,52,2-inch laceration to upper left arm,N,"Thought to involve a Bronze whale shark, 2m",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1117,Invalid,Surfing,M,26,Puncture wounds to foot,,Shark involvement not confirmed,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1118,Invalid,Crawling,M,14,2-inch laceration to upper left arm,,"Shark involvement probable, but not confirmed",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1119,Provoked,Fishing for sharks,M,,Hand bitten by hooked shark PROVOKED INCIDENT,N,White shark,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
1120,Unprovoked,Scuba diving,M,,Lacerations to left hand,N,Oceanic whitetip shark,Injured,White Shark,False,False,False,False,True,False,False,False,False,False,False,False
1121,Unprovoked,Scuba diving,M,,3 cm laceration to shoulder,N,Oceanic whitetip shark,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,True,False
1122,Unprovoked,Snorkeling,F,50,FATAL,Y,"Oceanic whitetip shark, 2.5 to 3m",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
1123,Provoked,Fishing,M,46,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,N,80 kg shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
1124,Provoked,Swimming,M,,Right foot bitten,N,5' to 8' shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1125,Unprovoked,Surfing,M,31,Lacerations to left leg & foot,N,blacktip or spinner shark,Injured,Regular Shark,False,True,False,False,False,False,True,False,False,False,False,False
1126,Unprovoked,Surfing,M,49,Lacerations to right foot,N,blacktip or spinner shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1127,Unprovoked,Surfing,M,55,Lacerations to right hand,N,blacktip or spinner shark,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
1128,Provoked,Spearfishing,M,27,Speared shark bit his forearm PROVOKED INCIDENT,N,"Blacktip shark, 4'",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1129,Provoked,Spearfishing,M,48,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT ,N,7' shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1130,Unprovoked,,F,,Multiple lacerations to right foot & ankle,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1132,Unprovoked,Surfing,M,20,3 puncture wounds to posterior right ankle,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1133,Unprovoked,Swimming,M,23,Legs bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1134,Unprovoked,Surfing,M,52,Left foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1135,Unprovoked,Surfing,M,31,Laceration to forearm,N,2' to 3' shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
1136,Invalid,Spearfishing,M,49,Missing,,Shark involvement not confirmed,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1138,Invalid,Swimming,M,24,Body not recovered,,Shark involvement not confirmed,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1139,Unprovoked,Spearfishing,M,,Shark struck him but the diver was not injured,N,"White shark, 12' to 15' female",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
1140,Unprovoked,Wading,M,15,Lacerations to right foot and ankle,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1141,Provoked,Fishing ,M,59,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,N,Raggedtooth shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1142,Unprovoked,Surfing,M,16,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1143,Unprovoked,Surfing,M,17,"Laceration to right foot, puncture wounds to calf",N,Bronze whaler shark?,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
1146,Unprovoked,Surfing,F,17,Minor bite to ankle,N,3' to 4' shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1147,Unprovoked,Feeding fish,F,,Minor injury,N,Blacktip reef shark pup,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1148,Unprovoked,Swimming,M,61,"Minor injury, bite chest and left calf",N,Thought to involve a cookie cutter shark,Injured,Regular Shark,False,False,True,False,False,False,False,False,False,False,False,False
1149,Provoked,Wading,M,21,Thigh bitten when he trod on the shark PROVOKED INCIDENT,N,"Wobbegong shark, 60cm",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1150,Unprovoked,Surfing,M,19,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
1151,Provoked,Fishing,M,40,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,N,"Blue shark, 1m",Injured,Regular Shark,True,False,False,False,False,False,False,True,False,False,False,False
1153,Unprovoked,Surfing,M,15,Lacerations to leg,N,2.6 m shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
