,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species,Arms,Legs,Chest,Thighs,Hands,Heads,Feet,Fingers,Necks,Backs,Shoulders,Toes
49,Unprovoked,Diving,M,,Severe laceration to left forearm,N,Grey reef shark. 2 m,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
51,Unprovoked,Surfing,M,20,Minor injury to left forearm,N,small shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
52,Unprovoked,Surfing,M,,Foot bitten,N,Wobbegong shark?,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
53,Unprovoked,Surfing,F,54,Severe lacerations to left thigh & knee,N,Tiger shark,Injured,Tiger Shark,False,False,False,True,False,False,False,False,False,False,False,False
54,Unprovoked,Surfing,F,35,Foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
55,Provoked,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
56,Unprovoked,Snorkeling,F,25,Minor injury to arm,N,Nurse shark. 5',Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
57,Unprovoked,Scuba Diving,M,26,Serious injury to leg,N,"Tiger shark, female",Injured,Tiger Shark,False,True,False,False,False,False,False,False,False,False,False,False
58,Unprovoked,Scuba diving,F,49,FATAL,Y,"Tiger shark, female",Injured,Tiger Shark,False,False,False,False,False,False,False,False,False,False,False,False
59,Sea Disaster,2 boats capsized,,,FATAL,Y,Some drowned but other may have been killed by blue sharks,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
60,Unprovoked,Spearfishing,M,25,Right leg bitten,N,"White shark, 4.6 m",Injured,White Shark,False,True,False,False,False,False,False,False,False,False,False,False
61,Unprovoked,Surfing,F,14,Heel bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
62,Unprovoked,Surfing,M,24,Puncture wounds to feet,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
63,Unprovoked,Surfing,M,25,Puncture wounds to left shoulder,N,2 m shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,True,False
64,Unprovoked,Night bathing,M,22,FATAL,Y,Tiger shark,Injured,Tiger Shark,False,False,False,False,False,False,False,False,False,False,False,False
65,Unprovoked,Snorkeling,M,7,Calf injured,N,Cookiecutter shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
66,Unprovoked,Surfing,M,31,Minor injury to foot,N,"Wobbegong shark, 1 m",Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
68,Unprovoked,Swimming,M,,Minor injury to foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
69,Unprovoked,Surfing ,M,17,Lacerations to left foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
70,Unprovoked,Swimming,F,60,Severe lacerations to left hand & wrist,N,,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
71,Unprovoked,Kayaking / Fishing,F,15,Minor injuries,N,"White shark, 4.5 m",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
73,Unprovoked,Swimming,M,,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet",Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
74,Unprovoked,Surfing,M,54,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet",Injured,Tiger Shark,False,False,False,False,True,False,False,False,False,False,False,False
